Date,MANA,POLKADOT,CARDANO,TRON,RIPLE,SAND,POLYGON,BITCOIN
2020-08-01,0.04643800109624863,,0.14357300102710724,0.020395999774336815,0.2895289957523346,,0.020989999175071716,11759.5927734375
2020-08-02,0.044307999312877655,,0.13350500166416168,0.01903899945318699,0.28706198930740356,,0.0200009997934103,11053.6142578125
2020-08-03,0.04577900096774101,,0.13733500242233276,0.01988700032234192,0.30994001030921936,,0.020459000021219254,11246.3486328125
2020-08-04,0.04543900117278099,,0.14301800727844238,0.02035200037062168,0.3004930019378662,,0.020646000280976295,11205.892578125
2020-08-05,0.05351699888706207,,0.14269499480724335,0.020450999960303307,0.30331099033355713,,0.021379999816417694,11747.0224609375
2020-08-06,0.05770299956202507,,0.14404800534248352,0.020275000482797623,0.3035840094089508,,0.021770000457763672,11779.7734375
2020-08-07,0.07442499697208405,,0.13915500044822693,0.019937999546527863,0.2946639955043793,,0.021398000419139862,11601.47265625
2020-08-08,0.10282299667596817,,0.1457809954881668,0.02041799947619438,0.29402199387550354,,0.022847000509500504,11754.0458984375
2020-08-09,0.0999239981174469,,0.14524400234222412,0.020472999662160873,0.2886529862880707,,0.02277900092303753,11675.7392578125
2020-08-10,0.10110100358724594,,0.1438550055027008,0.02151699922978878,0.29465898871421814,,0.02436400018632412,11878.111328125
2020-08-11,0.09021999686956406,,0.13743600249290466,0.020157000049948692,0.2844490110874176,,0.02307399921119213,11410.525390625
2020-08-12,0.09880699962377548,,0.13739800453186035,0.02039100043475628,0.2849299907684326,,0.025544000789523125,11584.9345703125
2020-08-13,0.09340299665927887,,0.14124499261379242,0.022606000304222107,0.2978070080280304,,0.02739099971950054,11784.1376953125
2020-08-14,0.0952799990773201,,0.13833799958229065,0.02474999986588955,0.300370991230011,0.0656450018286705,0.028144000098109245,11768.87109375
2020-08-15,0.09846799820661545,,0.1383029967546463,0.02520100027322769,0.2996610105037689,0.050964001566171646,0.030119000002741814,11865.6982421875
2020-08-16,0.09860900044441223,,0.13847100734710693,0.028207000344991684,0.30349200963974,0.060846999287605286,0.030161000788211823,11892.8037109375
2020-08-17,0.09558700025081635,,0.1409199982881546,0.03038799948990345,0.3147670030593872,0.053998999297618866,0.0287919994443655,12254.40234375
2020-08-18,0.08998200297355652,,0.13742700219154358,0.02880300022661686,0.3033069968223572,0.05169999971985817,0.02697099931538105,11991.2333984375
2020-08-19,0.08319900184869766,,0.12927499413490295,0.02653699927031994,0.29024600982666016,0.05209499970078468,0.02489599958062172,11758.283203125
2020-08-20,0.09113900363445282,2.9000799655914307,0.13364200294017792,0.02754499949514866,0.2925730049610138,0.053647998720407486,0.026708999648690224,11878.3720703125
2020-08-21,0.09422700107097626,2.875027894973755,0.12375999987125397,0.02434300072491169,0.2806819975376129,0.044234998524188995,0.024932000786066055,11592.4892578125
2020-08-22,0.09674900025129318,4.484690189361572,0.12527599930763245,0.02516300044953823,0.286545991897583,0.046011000871658325,0.02615099959075451,11681.8251953125
2020-08-23,0.09213600307703018,3.9670660495758057,0.12159500271081924,0.02446500025689602,0.28538599610328674,0.04400699958205223,0.025307999923825264,11664.84765625
